cc_capital-city,cc_street-code,cc_Box-Code,area,area-href,area_list,area_list-href,suburblist,suburblist-href,s_location,s_streetcode,s_boxcode,s_area,s_municipality,s_province,s_capitalcity,s_country
"Nelspruit","1201","1200","Ehlanzeni","http://postalcodez.co.za/postalcodes/mp/ehlanzeni","Kanyamazane","http://postalcodez.co.za/postalcodes/mp/ehlanzeni/kanyamazane","Kanyamazane Uit 6","http://kanyamazane-uit-6.postalcodez.co.za/postalcode/mp/ehlanzeni/kanyamazane/kanyamazane-uit-6","Location: Kanyamazane Uit 6","1214","1214","Kanyamazane","Ehlanzeni","Mpumalanga","MP Capital City:Nelspruit","South Africa"
"Nelspruit","1201","1200","Gert Sibande","http://postalcodez.co.za/postalcodes/mp/gert-sibande","Ermelo","http://postalcodez.co.za/postalcodes/mp/gert-sibande/ermelo","Sheepmoor","http://sheepmoor.postalcodez.co.za/postalcode/mp/gert-sibande/ermelo/sheepmoor","Location: Sheepmoor","2352","2352","Ermelo","Gert Sibande","Mpumalanga","MP Capital City:Nelspruit","South Africa"
"Nelspruit","1201","1200","Ehlanzeni","http://postalcodez.co.za/postalcodes/mp/ehlanzeni","Kanyamazane","http://postalcodez.co.za/postalcodes/mp/ehlanzeni/kanyamazane","Msogwaba","http://msogwaba.postalcodez.co.za/postalcode/mp/ehlanzeni/kanyamazane/msogwaba","Location: Msogwaba","-------","1215","Kanyamazane","Ehlanzeni","Mpumalanga","MP Capital City:Nelspruit","South Africa"
"Nelspruit","1201","1200","Ehlanzeni","http://postalcodez.co.za/postalcodes/mp/ehlanzeni","Shongwe Mission","http://postalcodez.co.za/postalcodes/mp/ehlanzeni/shongwe-mission","Schoemansdal","http://schoemansdal.postalcodez.co.za/postalcode/mp/ehlanzeni/shongwe-mission/schoemansdal","Location: Schoemansdal","-------","1331","Shongwe Mission","Ehlanzeni","Mpumalanga","MP Capital City:Nelspruit","South Africa"
"Nelspruit","1201","1200","Ehlanzeni","http://postalcodez.co.za/postalcodes/mp/ehlanzeni","Kanyamazane","http://postalcodez.co.za/postalcodes/mp/ehlanzeni/kanyamazane","Sibuyile","http://sibuyile.postalcodez.co.za/postalcode/mp/ehlanzeni/kanyamazane/sibuyile","Location: Sibuyile","-------","1216","Kanyamazane","Ehlanzeni","Mpumalanga","MP Capital City:Nelspruit","South Africa"
"Nelspruit","1201","1200","Gert Sibande","http://postalcodez.co.za/postalcodes/mp/gert-sibande","Standerton","http://postalcodez.co.za/postalcodes/mp/gert-sibande/standerton","Val","http://val.postalcodez.co.za/postalcode/mp/gert-sibande/standerton/val","Location: Val","-------","2425","Standerton","Gert Sibande","Mpumalanga","MP Capital City:Nelspruit","South Africa"
"Nelspruit","1201","1200","Gert Sibande","http://postalcodez.co.za/postalcodes/mp/gert-sibande","Standerton","http://postalcodez.co.za/postalcodes/mp/gert-sibande/standerton","Kosmos Park Uit 3","http://kosmos-park-uit-3.postalcodez.co.za/postalcode/mp/gert-sibande/standerton/kosmos-park-uit-3","Location: Kosmos Park Uit 3","2429","-------","Standerton","Gert Sibande","Mpumalanga","MP Capital City:Nelspruit","South Africa"
"Nelspruit","1201","1200","Gert Sibande","http://postalcodez.co.za/postalcodes/mp/gert-sibande","Bethal","http://postalcodez.co.za/postalcodes/mp/gert-sibande/bethal","Davel","http://davel.postalcodez.co.za/postalcode/mp/gert-sibande/bethal/davel","Location: Davel","-------","2320","Bethal","Gert Sibande","Mpumalanga","MP Capital City:Nelspruit","South Africa"
"Nelspruit","1201","1200","Gert Sibande","http://postalcodez.co.za/postalcodes/mp/gert-sibande","Embalenhle","http://postalcodez.co.za/postalcodes/mp/gert-sibande/embalenhle","Embalenhle Uit 26","http://embalenhle-uit-26.postalcodez.co.za/postalcode/mp/gert-sibande/embalenhle/embalenhle-uit-26","Location: Embalenhle Uit 26","2285","2285","Embalenhle","Gert Sibande","Mpumalanga","MP Capital City:Nelspruit","South Africa"
"Nelspruit","1201","1200","Gert Sibande","http://postalcodez.co.za/postalcodes/mp/gert-sibande","Embalenhle","http://postalcodez.co.za/postalcodes/mp/gert-sibande/embalenhle","Embalenhle Ext 6","http://embalenhle-ext-6.postalcodez.co.za/postalcode/mp/gert-sibande/embalenhle/embalenhle-ext-6","Location: Embalenhle Ext 16","2285","2285","Embalenhle","Gert Sibande","Mpumalanga","MP Capital City:Nelspruit","South Africa"
"Nelspruit","1201","1200","Gert Sibande","http://postalcodez.co.za/postalcodes/mp/gert-sibande","Secunda","http://postalcodez.co.za/postalcodes/mp/gert-sibande/secunda","Palms","http://palms.postalcodez.co.za/postalcode/mp/gert-sibande/secunda/palms","Location: Palms","-------","2302","Secunda","Gert Sibande","Mpumalanga","MP Capital City:Nelspruit","South Africa"
"Nelspruit","1201","1200","Ehlanzeni","http://postalcodez.co.za/postalcodes/mp/ehlanzeni","White River","http://postalcodez.co.za/postalcodes/mp/ehlanzeni/white-river","Witrivier Uit 20","http://witrivier-uit-20.postalcodez.co.za/postalcode/mp/ehlanzeni/white-river/witrivier-uit-20","Location: Witrivier Uit 20","1240","1240","White River","Ehlanzeni","Mpumalanga","MP Capital City:Nelspruit","South Africa"
"Nelspruit","1201","1200","Nkangala","http://postalcodez.co.za/postalcodes/mp/nkangala","Witbank","http://postalcodez.co.za/postalcodes/mp/nkangala/witbank","Witbank Ext 2","http://witbank-ext-2.postalcodez.co.za/postalcode/mp/nkangala/witbank/witbank-ext-2","Location: Witbank Ext 12","1034","-------","Witbank","Nkangala","Mpumalanga","MP Capital City:Nelspruit","South Africa"
"Nelspruit","1201","1200","Nkangala","http://postalcodez.co.za/postalcodes/mp/nkangala","Witbank","http://postalcodez.co.za/postalcodes/mp/nkangala/witbank","Sehlakwane","http://sehlakwane.postalcodez.co.za/postalcode/mp/nkangala/witbank/sehlakwane","Location: Sehlakwane","-------","1047","Witbank","Nkangala","Mpumalanga","MP Capital City:Nelspruit","South Africa"
"Nelspruit","1201","1200","Nkangala","http://postalcodez.co.za/postalcodes/mp/nkangala","Delmas","http://postalcodez.co.za/postalcodes/mp/nkangala/delmas","Delmas Uit 2","http://delmas-uit-2.postalcodez.co.za/postalcode/mp/nkangala/delmas/delmas-uit-2","Location: Delmas Uit 2","2210","2210","Delmas","Nkangala","Mpumalanga","MP Capital City:Nelspruit","South Africa"
"Nelspruit","1201","1200","Gert Sibande","http://postalcodez.co.za/postalcodes/mp/gert-sibande","Secunda","http://postalcodez.co.za/postalcodes/mp/gert-sibande/secunda","Secunda Uit 23","http://secunda-uit-23.postalcodez.co.za/postalcode/mp/gert-sibande/secunda/secunda-uit-23","Location: Secunda Uit 23","2302","2302","Secunda","Gert Sibande","Mpumalanga","MP Capital City:Nelspruit","South Africa"
"Nelspruit","1201","1200","Gert Sibande","http://postalcodez.co.za/postalcodes/mp/gert-sibande","Balfour","http://postalcodez.co.za/postalcodes/mp/gert-sibande/balfour","Siyathemba Ext 5","http://siyathemba-ext-5.postalcodez.co.za/postalcode/mp/gert-sibande/balfour/siyathemba-ext-5","Location: Siyathemba Ext 5","2410","2410","Balfour","Gert Sibande","Mpumalanga","MP Capital City:Nelspruit","South Africa"
"Nelspruit","1201","1200","Ehlanzeni","http://postalcodez.co.za/postalcodes/mp/ehlanzeni","Barberton","http://postalcodez.co.za/postalcodes/mp/ehlanzeni/barberton","Barberton Uit 6","http://barberton-uit-6.postalcodez.co.za/postalcode/mp/ehlanzeni/barberton/barberton-uit-6","Location: Barberton Uit 6","1300","1300","Barberton","Ehlanzeni","Mpumalanga","MP Capital City:Nelspruit","South Africa"
"Nelspruit","1201","1200","Ehlanzeni","http://postalcodez.co.za/postalcodes/mp/ehlanzeni","White River","http://postalcodez.co.za/postalcodes/mp/ehlanzeni/white-river","Witrivier Uit 18","http://witrivier-uit-18.postalcodez.co.za/postalcode/mp/ehlanzeni/white-river/witrivier-uit-18","Location: Witrivier Uit 18","1240","1240","White River","Ehlanzeni","Mpumalanga","MP Capital City:Nelspruit","South Africa"
"Nelspruit","1201","1200","Nkangala","http://postalcodez.co.za/postalcodes/mp/nkangala","Witbank","http://postalcodez.co.za/postalcodes/mp/nkangala/witbank","Duvha Park Uit 2","http://duvha-park-uit-2.postalcodez.co.za/postalcode/mp/nkangala/witbank/duvha-park-uit-2","Location: Duvha Park Uit 2","1034","1035","Witbank","Nkangala","Mpumalanga","MP Capital City:Nelspruit","South Africa"
"Nelspruit","1201","1200","Nkangala","http://postalcodez.co.za/postalcodes/mp/nkangala","Delmas","http://postalcodez.co.za/postalcodes/mp/nkangala/delmas","Delmas","http://delmas.postalcodez.co.za/postalcode/mp/nkangala/delmas/delmas","Location: Delmas","-------","2210","Delmas","Nkangala","Mpumalanga","MP Capital City:Nelspruit","South Africa"
"Nelspruit","1201","1200","Gert Sibande","http://postalcodez.co.za/postalcodes/mp/gert-sibande","Mpumalanga","http://postalcodez.co.za/postalcodes/mp/gert-sibande/mpumalanga","Amsterdam","http://amsterdam.postalcodez.co.za/postalcode/mp/gert-sibande/mpumalanga/amsterdam","Location: Amsterdam","-------","2375","Mpumalanga","Gert Sibande","Mpumalanga","MP Capital City:Nelspruit","South Africa"
"Nelspruit","1201","1200","Gert Sibande","http://postalcodez.co.za/postalcodes/mp/gert-sibande","Standerton","http://postalcodez.co.za/postalcodes/mp/gert-sibande/standerton","Sakhile Ext 1","http://sakhile-ext-1.postalcodez.co.za/postalcode/mp/gert-sibande/standerton/sakhile-ext-1","Location: Sakhile Ext 1","2431","2431","Standerton","Gert Sibande","Mpumalanga","MP Capital City:Nelspruit","South Africa"
"Nelspruit","1201","1200","Gert Sibande","http://postalcodez.co.za/postalcodes/mp/gert-sibande","Amersfoort","http://postalcodez.co.za/postalcodes/mp/gert-sibande/amersfoort","Ezamokuhle","http://ezamokuhle.postalcodez.co.za/postalcode/mp/gert-sibande/amersfoort/ezamokuhle","Location: Ezamokuhle","-------","2490","Amersfoort","Gert Sibande","Mpumalanga","MP Capital City:Nelspruit","South Africa"
"Nelspruit","1201","1200","Nkangala","http://postalcodez.co.za/postalcodes/mp/nkangala","Witbank","http://postalcodez.co.za/postalcodes/mp/nkangala/witbank","Balmoral","http://balmoral.postalcodez.co.za/postalcode/mp/nkangala/witbank/balmoral","Location: Balmoral","-------","1037","Witbank","Nkangala","Mpumalanga","MP Capital City:Nelspruit","South Africa"
"Nelspruit","1201","1200","Ehlanzeni","http://postalcodez.co.za/postalcodes/mp/ehlanzeni","Nelspruit","http://postalcodez.co.za/postalcodes/mp/ehlanzeni/nelspruit","Nelspruit Uit 2","http://nelspruit-uit-2.postalcodez.co.za/postalcode/mp/ehlanzeni/nelspruit/nelspruit-uit-2","Location: Nelspruit Uit 2","1201","1200","Nelspruit","Ehlanzeni","Mpumalanga","MP Capital City:Nelspruit","South Africa"
"Nelspruit","1201","1200","Ehlanzeni","http://postalcodez.co.za/postalcodes/mp/ehlanzeni","Lydenburg","http://postalcodez.co.za/postalcodes/mp/ehlanzeni/lydenburg","Lydenburg","http://lydenburg.postalcodez.co.za/postalcode/mp/ehlanzeni/lydenburg/lydenburg","Location: Lydenburg","1120","1120","Lydenburg","Ehlanzeni","Mpumalanga","MP Capital City:Nelspruit","South Africa"
"Nelspruit","1201","1200","Nkangala","http://postalcodez.co.za/postalcodes/mp/nkangala","Witbank","http://postalcodez.co.za/postalcodes/mp/nkangala/witbank","Kwaguqa Ext 4","http://kwaguqa-ext-4.postalcodez.co.za/postalcode/mp/nkangala/witbank/kwaguqa-ext-4","Location: Kwaguqa Ext 14","1039","1045","Witbank","Nkangala","Mpumalanga","MP Capital City:Nelspruit","South Africa"
"Nelspruit","1201","1200","Ehlanzeni","http://postalcodez.co.za/postalcodes/mp/ehlanzeni","White River","http://postalcodez.co.za/postalcodes/mp/ehlanzeni/white-river","Witrivier Uit 21","http://witrivier-uit-21.postalcodez.co.za/postalcode/mp/ehlanzeni/white-river/witrivier-uit-21","Location: Witrivier Uit 21","1240","1240","White River","Ehlanzeni","Mpumalanga","MP Capital City:Nelspruit","South Africa"
"Nelspruit","1201","1200","Ehlanzeni","http://postalcodez.co.za/postalcodes/mp/ehlanzeni","Nelspruit","http://postalcodez.co.za/postalcodes/mp/ehlanzeni/nelspruit","Steiltes Ext 10","http://steiltes-ext-10.postalcodez.co.za/postalcode/mp/ehlanzeni/nelspruit/steiltes-ext-10","Location: Steiltes Ext 10","1201","-------","Nelspruit","Ehlanzeni","Mpumalanga","MP Capital City:Nelspruit","South Africa"
"Nelspruit","1201","1200","Gert Sibande","http://postalcodez.co.za/postalcodes/mp/gert-sibande","Carolina","http://postalcodez.co.za/postalcodes/mp/gert-sibande/carolina","Carolina","http://carolina.postalcodez.co.za/postalcode/mp/gert-sibande/carolina/carolina","Location: Carolina","1185","1185","Carolina","Gert Sibande","Mpumalanga","MP Capital City:Nelspruit","South Africa"
"Nelspruit","1201","1200","Ehlanzeni","http://postalcodez.co.za/postalcodes/mp/ehlanzeni","Nelspruit","http://postalcodez.co.za/postalcodes/mp/ehlanzeni/nelspruit","Sonheuwel Uit 1","http://sonheuwel-uit-1.postalcodez.co.za/postalcode/mp/ehlanzeni/nelspruit/sonheuwel-uit-1","Location: Sonheuwel Uit 1","1201","-------","Nelspruit","Ehlanzeni","Mpumalanga","MP Capital City:Nelspruit","South Africa"
"Nelspruit","1201","1200","Nkangala","http://postalcodez.co.za/postalcodes/mp/nkangala","Witbank","http://postalcodez.co.za/postalcodes/mp/nkangala/witbank","Tasbet Park Uit","http://tasbet-park-uit.postalcodez.co.za/postalcode/mp/nkangala/witbank/tasbet-park-uit","Location: Tasbet Park Uit","1034","1040","Witbank","Nkangala","Mpumalanga","MP Capital City:Nelspruit","South Africa"
"Nelspruit","1201","1200","Nkangala","http://postalcodez.co.za/postalcodes/mp/nkangala","Middelburg","http://postalcodez.co.za/postalcodes/mp/nkangala/middelburg","Kanhym Estate","http://kanhym-estate.postalcodez.co.za/postalcode/mp/nkangala/middelburg/kanhym-estate","Location: Kanhym Estate","-------","1050","Middelburg","Nkangala","Mpumalanga","MP Capital City:Nelspruit","South Africa"
"Nelspruit","1201","1200","Ehlanzeni","http://postalcodez.co.za/postalcodes/mp/ehlanzeni","Sabie","http://postalcodez.co.za/postalcodes/mp/ehlanzeni/sabie","Sabie Uit 1","http://sabie-uit-1.postalcodez.co.za/postalcode/mp/ehlanzeni/sabie/sabie-uit-1","Location: Sabie Uit 1","-------","1260","Sabie","Ehlanzeni","Mpumalanga","MP Capital City:Nelspruit","South Africa"
"Nelspruit","1201","1200","Gert Sibande","http://postalcodez.co.za/postalcodes/mp/gert-sibande","Leslie","http://postalcodez.co.za/postalcodes/mp/gert-sibande/leslie","Lebohang Uit 15","http://lebohang-uit-15.postalcodez.co.za/postalcode/mp/gert-sibande/leslie/lebohang-uit-15","Location: Lebohang Uit 15","2265","2265","Leslie","Gert Sibande","Mpumalanga","MP Capital City:Nelspruit","South Africa"
"Nelspruit","1201","1200","Nkangala","http://postalcodez.co.za/postalcodes/mp/nkangala","Middelburg","http://postalcodez.co.za/postalcodes/mp/nkangala/middelburg","Manoge","http://manoge.postalcodez.co.za/postalcode/mp/nkangala/middelburg/manoge","Location: Manoge","-------","1071","Middelburg","Nkangala","Mpumalanga","MP Capital City:Nelspruit","South Africa"
"Nelspruit","1201","1200","Ehlanzeni","http://postalcodez.co.za/postalcodes/mp/ehlanzeni","Nelspruit","http://postalcodez.co.za/postalcodes/mp/ehlanzeni/nelspruit","Mbombela Uit","http://mbombela-uit.postalcodez.co.za/postalcode/mp/ehlanzeni/nelspruit/mbombela-uit","Location: Mbombela Uit","1201","1200","Nelspruit","Ehlanzeni","Mpumalanga","MP Capital City:Nelspruit","South Africa"
"Nelspruit","1201","1200","Nkangala","http://postalcodez.co.za/postalcodes/mp/nkangala","Witbank","http://postalcodez.co.za/postalcodes/mp/nkangala/witbank","Klarinet Ext 3","http://klarinet-ext-3.postalcodez.co.za/postalcode/mp/nkangala/witbank/klarinet-ext-3","Location: Klarinet Ext 3","1039","1035","Witbank","Nkangala","Mpumalanga","MP Capital City:Nelspruit","South Africa"
"Nelspruit","1201","1200","Nkangala","http://postalcodez.co.za/postalcodes/mp/nkangala","Witbank","http://postalcodez.co.za/postalcodes/mp/nkangala/witbank","Witbank Uit 10","http://witbank-uit-10.postalcodez.co.za/postalcode/mp/nkangala/witbank/witbank-uit-10","Location: Witbank Uit 10","1034","-------","Witbank","Nkangala","Mpumalanga","MP Capital City:Nelspruit","South Africa"
"Nelspruit","1201","1200","Nkangala","http://postalcodez.co.za/postalcodes/mp/nkangala","Middelburg","http://postalcodez.co.za/postalcodes/mp/nkangala/middelburg","Khalethu","http://khalethu.postalcodez.co.za/postalcode/mp/nkangala/middelburg/khalethu","Location: Khalethu","1055","-------","Middelburg","Nkangala","Mpumalanga","MP Capital City:Nelspruit","South Africa"
"Nelspruit","1201","1200","Gert Sibande","http://postalcodez.co.za/postalcodes/mp/gert-sibande","Embalenhle","http://postalcodez.co.za/postalcodes/mp/gert-sibande/embalenhle","Embalenhle Uit 2","http://embalenhle-uit-2.postalcodez.co.za/postalcode/mp/gert-sibande/embalenhle/embalenhle-uit-2","Location: Embalenhle Uit 12","2285","2285","Embalenhle","Gert Sibande","Mpumalanga","MP Capital City:Nelspruit","South Africa"
"Nelspruit","1201","1200","Nkangala","http://postalcodez.co.za/postalcodes/mp/nkangala","Skilpadfontein","http://postalcodez.co.za/postalcodes/mp/nkangala/skilpadfontein","Marapyane","http://marapyane.postalcodez.co.za/postalcode/mp/nkangala/skilpadfontein/marapyane","Location: Marapyane","-------","0431","Skilpadfontein","Nkangala","Mpumalanga","MP Capital City:Nelspruit","South Africa"
"Nelspruit","1201","1200","Nkangala","http://postalcodez.co.za/postalcodes/mp/nkangala","Mpumalanga","http://postalcodez.co.za/postalcodes/mp/nkangala/mpumalanga","Middelburg Ext 6","http://middelburg-ext-6.postalcodez.co.za/postalcode/mp/nkangala/mpumalanga/middelburg-ext-6","Location: Middelburg Ext 6","1055","-------","Mpumalanga","Nkangala","Mpumalanga","MP Capital City:Nelspruit","South Africa"
"Nelspruit","1201","1200","Nkangala","http://postalcodez.co.za/postalcodes/mp/nkangala","Witbank","http://postalcodez.co.za/postalcodes/mp/nkangala/witbank","Kwaguqa Fase 4","http://kwaguqa-fase-4.postalcodez.co.za/postalcode/mp/nkangala/witbank/kwaguqa-fase-4","Location: Kwaguqa Fase 4","1073","1073","Witbank","Nkangala","Mpumalanga","MP Capital City:Nelspruit","South Africa"
"Nelspruit","1201","1200","Nkangala","http://postalcodez.co.za/postalcodes/mp/nkangala","Kwamhlanga","http://postalcodez.co.za/postalcodes/mp/nkangala/kwamhlanga","Lithuli Ext 3","http://lithuli-ext-3.postalcodez.co.za/postalcode/mp/nkangala/kwamhlanga/lithuli-ext-3","Location: Lithuli Ext 3","1022","1022","Kwamhlanga","Nkangala","Mpumalanga","MP Capital City:Nelspruit","South Africa"
"Nelspruit","1201","1200","Ehlanzeni","http://postalcodez.co.za/postalcodes/mp/ehlanzeni","Barberton","http://postalcodez.co.za/postalcodes/mp/ehlanzeni/barberton","New Village","http://new-village.postalcodez.co.za/postalcode/mp/ehlanzeni/barberton/new-village","Location: New Village","-------","1300","Barberton","Ehlanzeni","Mpumalanga","MP Capital City:Nelspruit","South Africa"
"Nelspruit","1201","1200","Ehlanzeni","http://postalcodez.co.za/postalcodes/mp/ehlanzeni","Barberton","http://postalcodez.co.za/postalcodes/mp/ehlanzeni/barberton","New Village Ext","http://new-village-ext.postalcodez.co.za/postalcode/mp/ehlanzeni/barberton/new-village-ext","Location: New Village Ext","-------","1300","Barberton","Ehlanzeni","Mpumalanga","MP Capital City:Nelspruit","South Africa"
"Nelspruit","1201","1200","Nkangala","http://postalcodez.co.za/postalcodes/mp/nkangala","Witbank","http://postalcodez.co.za/postalcodes/mp/nkangala/witbank","Arnot Colliery","http://arnot-colliery.postalcodez.co.za/postalcode/mp/nkangala/witbank/arnot-colliery","Location: Arnot Colliery","-------","1097","Witbank","Nkangala","Mpumalanga","MP Capital City:Nelspruit","South Africa"
"Nelspruit","1201","1200","Gert Sibande","http://postalcodez.co.za/postalcodes/mp/gert-sibande","Embalenhle","http://postalcodez.co.za/postalcodes/mp/gert-sibande/embalenhle","Embalenhle Uit 9","http://embalenhle-uit-9.postalcodez.co.za/postalcode/mp/gert-sibande/embalenhle/embalenhle-uit-9","Location: Embalenhle Uit 19","2285","2285","Embalenhle","Gert Sibande","Mpumalanga","MP Capital City:Nelspruit","South Africa"
"Nelspruit","1201","1200","Nkangala","http://postalcodez.co.za/postalcodes/mp/nkangala","Witbank","http://postalcodez.co.za/postalcodes/mp/nkangala/witbank","Witbank Uit 9","http://witbank-uit-9.postalcodez.co.za/postalcode/mp/nkangala/witbank/witbank-uit-9","Location: Witbank Uit 9","1034","-------","Witbank","Nkangala","Mpumalanga","MP Capital City:Nelspruit","South Africa"
"Nelspruit","1201","1200","Gert Sibande","http://postalcodez.co.za/postalcodes/mp/gert-sibande","Evander","http://postalcodez.co.za/postalcodes/mp/gert-sibande/evander","Kinross","http://kinross.postalcodez.co.za/postalcode/mp/gert-sibande/evander/kinross","Location: Kinross","2270","2270","Evander","Gert Sibande","Mpumalanga","MP Capital City:Nelspruit","South Africa"
